key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,4.907999992,"[""2"",""1"",""7""]","[1.0350000858306885,1.5520000457763672,1.8020000457763672,2.385000228881836]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,temp,001,2020-10-06_22h27.12.224,Digit Span Task,3.1.5,Win32,60
,,"[""4"",""8"",""6""]","[1.7019999027252197,2.050999879837036,2.2849998474121094,2.5179998874664307]",1,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,temp,001,2020-10-06_22h27.12.224,Digit Span Task,3.1.5,Win32,60
