key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.512000084,"[""2"",""1"",""7""]","[1.0120000839233398,1.2960000038146973,1.7089998722076416,2.2839999198913574]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,1,001,2020-06-10_15h23.05.890,Digit Span Task,3.1.5,Win32,60
,,"[""4"",""8"",""6""]","[1.0839998722076416,1.7669999599456787,2.0839998722076416,2.7619998455047607]",1,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,1,001,2020-06-10_15h23.05.890,Digit Span Task,3.1.5,Win32,60
