key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,59.30800009,"[""2"",""1"",""7""]","[2.002000093460083,2.86299991607666,3.6019999980926514,5.403000116348267]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,demie,001,2020-11-05_14h49.41.079,Digit Span Task,3.1.5,Win32,60
,,"[""4"",""8"",""6""]","[1.8339998722076416,2.757999897003174,3.0909998416900635,3.5119998455047607]",1,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,demie,001,2020-11-05_14h49.41.079,Digit Span Task,3.1.5,Win32,60
