key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,9.855000019,"[""2"",""1"",""7""]","[1.930999994277954,2.073000192642212,2.265000104904175,2.7690000534057617]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,,001,2020-11-16_14h41.33.859,Digit Span Task,3.1.5,MacIntel,60
,,"[""4"",""8"",""6""]","[1.436000108718872,1.9249999523162842,2.125,2.752000093460083]",1,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,,001,2020-11-16_14h41.33.859,Digit Span Task,3.1.5,MacIntel,60
