key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,9.486999989,"[""2"",""1"",""7""]","[2.0460000038146973,2.619999885559082,3.2130000591278076,5.363999843597412]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,aa,001,2020-08-28_17h43.14.596,Digit Span Task,3.1.5,MacIntel,60
,,"[""4"",""8"",""6""]","[1.1430001258850098,1.7420001029968262,2.2340002059936523,2.75]",1,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,aa,001,2020-08-28_17h43.14.596,Digit Span Task,3.1.5,MacIntel,60
