key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,24.66100001,"[""2"",""1"",""7""]","[1.2300000190734863,1.6499998569488525,1.812000036239624,2.6629998683929443]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,blue,001,2020-05-15_17h53.18.168,Digit Span Task,3.1.5,Win32,60
,,"[""4"",""8"",""6""]","[1.1729998588562012,1.8279998302459717,2.2769999504089355,2.985999822616577]",1,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,blue,001,2020-05-15_17h53.18.168,Digit Span Task,3.1.5,Win32,60
